town,amount
ALBANY,1645.78
ANDOVER,202064.72
ARLINGTON,32281.45
ATHENS,327.12
BARNARD,705365.87
BARTON,11936.9
BENNINGTON,1229838.02
BENSON,13075.5
BERLIN,272936.59
BETHEL,4832978.8
BOLTON,20128.68
BRAINTREE,645985
BRANDON,260234.25
BRATTLEBORO,1497452.56
BRIDGEWATER,2475993.83
BRIGHTON,312388.45
BRISTOL,551921.7
BROOKFIELD,8645.77
BRUNSWICK,0
CABOT,70040.87
CAMBRIDGE,22397.43
CASTLETON,56239.24
CAVENDISH,3631738.9
CHARLESTON,11459.81
CHELSEA,8400.34
CHESTER,1328008.44
CHITTENDEN,18396.63
CLARENDON,797881.72
COLCHESTER,3135.88
COVENTRY,10763.89
CRAFTSBURY,21889.73
DANBY,135935.29
DANVILLE,18396.01
DORSET,9606.36
DOVER,58230.08
DUMMERSTON,647263.6
EAST MONTPELIER,673192.35
ELMORE,8623.32
FAYSTON,150745.64
GLASTENBURY,56325.49
GOSHEN,758561.63
GRAFTON,1763554
GRANVILLE,1582051.68
GREENSBORO,26652.18
GROTON,253355.14
GUILDHALL,1284
GUILFORD,9957.5
HALIFAX,326681.75
HANCOCK,1998084.17
HARDWICK,288730.12
HARTFORD,1076392.35
HARTLAND,111909.96
HUBBARDTON,1338701.78
HUNTINGTON,40281
HURRICANE,0
IRA,92376.1
IRASBURG,58571.4
JAMAICA,5345943.25
JAY,67760.06
JOHNSON,8113.77
KILLINGTON,738086.73
LINCOLN,83306.02
LONDONDERRY,470242.9
LOWELL,63252.18
LUDLOW,381249.52
LUNENBURG,1434.59
LYNDON,29295.28
MANCHESTER,91890.13
MARLBORO,757972.03
MARSHFIELD,4390.5
MENDON,2391248.99
MIDDLESEX,3592
MIDDLETOWN SPRINGS,298670.85
MONTGOMERY,12715.5
MONTPELIER,7826.23
MORETOWN,222224.21
MOUNT HOLLY,489443.26
MOUNT TABOR,66632.21
NEWBURY,2439.36
NEWFANE,1950341.5
NEWPORT,49.5
NORTH HERO,22501.4
NORTHFIELD,559427.15
ORANGE,21059.3
ORWELL,19552.16
PAWLET,503697.36
PERU,46239.15
PITTSFIELD,3218060.525
PITTSFORD,5689.01
PLAINFIELD,469.52
PLYMOUTH,3677161.73
POMFRET,187859.2
POULTNEY,1770.97
POWNAL,1115.24
PROCTOR,4605.71
RANDOLPH,17818.38
READING,381361.38
READSBORO,1551123.47
RICHFORD,46000
RICHMOND,3027.5
RIPTON,297976.78
ROCHESTER,5259531.23
ROCKINGHAM,958786.63
ROXBURY,2277784.4
ROYALTON,487645.39
RUPERT,166330.77
RUTLAND,73259.88
SEARSBURG,220383.36
SHAFTSBURY,206.88
SHARON,201607.62
SHEFFIELD,3133.93
SHELDON,17774.36
SHREWSBURY,228996.47
SPRINGFIELD,255.6
ST. ALBANS,4343.33
ST. JOHNSBURY,1484.26
STAMFORD,276460.33
STARKSBORO,8398.5
STATEWIDE,440472.33
STOCKBRIDGE,2.07E+07
STONE,0
STOWE,252550.68
STRAFFORD,197799.37
STRATTON,9671.6
SUDBURY,31430.08
SUNDERLAND,139840.88
THETFORD,131721.02
TINMOUTH,1449.35
TOPSHAM,24849.9
TOWNSHEND,18433.69
TROY,390
TUNBRIDGE,135218.17
VERSHIRE,71491.84
WAITSFIELD,135062.93
WALDEN,2172.71
WALLINGFORD,296885.15
WARDSBORO,3426255.24
WARREN,1088779.96
WASHINGTON,23400.27
WATERBURY,276262.63
WATERFORD,0
WEATHERSFIELD,2425361.62
WELLS,22862.31
WEST RUTLAND,88282.43
WEST WINDSOR,337438.1
WESTFIELD,318211.99
WESTMINSTER,505044.51
WESTMORE,16210.04
WESTON,55519.72
WHEELOCK,476.35
WHITINGHAM,669215.66
WILLIAMSTOWN,27561.1
WILMINGTON,1517073.03
WINDHAM,153731.26
WINDSOR,690.91
WINHALL,405778.69
WOLCOTT,167930
WOODBURY,26684.49
WOODFORD,2074869.45
WOODSTOCK,1200585.05
WORCESTER,40282.08
